station,lat,long,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,annual,,,
21040050,2.108833333,-75.82280556,66.17794118,99.89705882,105.7,99.31911765,88.99264706,62.81764706,56.08529412,36.35,34.46029412,93.77647059,118.925,83.175,78.80637255,,,
21040060,2.199361111,-75.77936111,97.89705882,100.8235294,133.2647059,116.6323529,101.8235294,63.05882353,44.64705882,29.30882353,42,113.9117647,139.1764706,97.48529412,90.00245098,,,
21040070,2.216666667,-75.68333333,56.35333333,88.15,95.06333333,95.04333333,86.68666667,58.14,45.13666667,25.08,38.53,97.83666667,111.54,56.80666667,71.19722222,,,
21050090,2.551444444,-75.8065,148.3081395,178.2255814,215.0325581,196.4686047,163.6860465,106.227907,82.9255814,67.37906977,90.73953488,190.1209302,237.4697674,206.7674419,156.9459302,,,
21050140,2.510777778,-75.61566667,151.7871795,153.6512821,197.7935897,168.3115385,118.9333333,49.9025641,31.32051282,21.22564103,56.07435897,188.6487179,281.0128205,243.1923077,138.4878205,,,
21050150,2.458416667,-75.75833333,181.1142857,169.3571429,200.5142857,160.3714286,125.1428571,44.15714286,30.71428571,28.82857143,45.25714286,198,245.1571429,265.5685714,141.1819048,,,
21050160,2.317055556,-76.01013889,97.71052632,122.3315789,135.6144737,167.3065789,150.3526316,126.9289474,106.8921053,77.24210526,83.18421053,147.8868421,147.2197368,130.8868421,124.4630482,,,
21050170,2.652388889,-75.75894444,113.0128205,117.1653846,179.4871795,209.3346154,189.8846154,123.5769231,120.0641026,91.17948718,116.8846154,181.0897436,209.6641026,149.4384615,150.0651709,,,
21050190,2.218055556,-76.11736111,102.0363636,142.5454545,166.8181818,208.6363636,208.8181818,164.8787879,145.7575758,109.3484848,112.8181818,186.969697,157.9848485,138.730303,153.7785354,,,
21050290,2.491277778,-75.7285,144.0116279,148.6046512,184.4837209,169.1197674,105.7906977,43.97674419,37.2244186,30.23953488,43.46395349,180.2348837,233.2988372,214.9209302,127.9474806,,,
21055020,2.378277778,-75.89125,126.7722222,152.4322222,180.1566667,163.9122222,143.5844444,78.23666667,63.94777778,50.03,70.15888889,147.9033333,164.2022222,137.6644444,123.2500926,,,
21060040,2.202027778,-75.54858333,81.96022727,113.6477273,150.8977273,166,152.8818182,126.0113636,104.4772727,68.09090909,72.9375,146.2727273,153,113.7318182,120.8257576,,,
21060070,2.388916667,-75.53808333,73.73863636,97.32954545,121.8181818,122.1590909,90.43181818,61.20454545,53.42045455,39.5,41.73863636,120.1590909,133.6136364,95.05681818,87.51420455,,,
21060080,2.190083333,-75.60505556,60.70930233,84.13953488,98.3372093,117.7325581,102.1953488,97.56976744,70.15116279,50.74418605,52.95348837,112.7209302,110.2093023,82.3255814,86.64903101,,,
21060090,2.574805556,-75.43552778,87.95581395,111.8953488,156.1837209,135.1860465,98.15581395,37.52325581,28.86046512,21.39534884,41.24418605,155.6139535,208.0813953,153.9174419,103.0010659,,,
21060100,2.317166667,-75.50358333,90.71212121,119.4090909,153.5757576,179.8666667,167.169697,114.9954545,107.7454545,75.52424242,78.88181818,145.0893939,152.1515152,115.1060606,125.0189394,,,
21060110,2.3215,-75.62466667,68.57575758,95.84848485,116.5454545,96.12121212,89.8030303,51.63636364,37.8030303,26.42424242,38.81818182,126.4393939,127.3333333,99.13636364,81.20707071,,,
21065040,2.2525,-75.52944444,84.29069767,96.49069767,115.0802326,149.6604651,133.9651163,115.0744186,92.32790698,66.08372093,76.8,111.5151163,124.5453488,109.7953488,106.3024225,,,
21080030,2.669611111,-75.52886111,142.0352273,148.9647727,208.1,167.5284091,113.4590909,40,30.08409091,18.06363636,39.85,192.8704545,264.3329545,210.7704545,131.3382576,,,
21080070,2.636916667,-75.58091667,195.0161765,144.9205882,200.375,215.2882353,138.9911765,40.72352941,24.97941176,12.55147059,54.425,206.7073529,287.4632353,280.6470588,150.1740196,,,
21080080,2.793055556,-75.632,119.5236842,134.1144737,173.7407895,191.2657895,150.65,74.13421053,49.29868421,52.93026316,101.0526316,172.7315789,176.5052632,135.5223684,127.6224781,,,
